validation_set_corpus_pct,topics_range,alpha,eta,minimum_probability,bigram_min_count,coherence
0.75,14,symmetric,,0.001,5,0.3316253108643979
0.75,14,symmetric,,0.01,5,0.3248473691451694
0.75,14,symmetric,,0.1,5,0.3258173341867546
0.75,14,asymmetric,symmetric,0.001,5,0.34742332880600274
0.75,14,asymmetric,symmetric,0.01,5,0.3532978072144446
0.75,14,asymmetric,symmetric,0.1,5,0.35896201157233826
0.75,14,asymmetric,auto,0.001,5,0.3565952140950724
0.75,14,asymmetric,auto,0.01,5,0.3471684706005323
0.75,14,asymmetric,auto,0.1,5,0.40776482384111734
0.75,14,asymmetric,,0.001,5,0.32372635777354203
0.75,14,asymmetric,,0.01,5,0.3355843097301366
0.75,14,asymmetric,,0.1,5,0.34552209322101674
1.0,8,symmetric,symmetric,0.001,5,0.34800765513980875
1.0,8,symmetric,symmetric,0.01,5,0.3414502436980309
1.0,8,symmetric,symmetric,0.1,5,0.34155315891272975
1.0,8,symmetric,auto,0.001,5,0.340613507983769
1.0,8,symmetric,auto,0.01,5,0.35051005563402615
1.0,8,symmetric,auto,0.1,5,0.3494523555457891
1.0,8,symmetric,,0.001,5,0.3411334694772161
1.0,8,symmetric,,0.01,5,0.3365186335057297
1.0,8,symmetric,,0.1,5,0.35116866103574207
1.0,8,asymmetric,symmetric,0.001,5,0.33810577846904466
1.0,8,asymmetric,symmetric,0.01,5,0.3163478673011702
1.0,8,asymmetric,symmetric,0.1,5,0.3199746002123496
1.0,8,asymmetric,auto,0.001,5,0.3270636118459255
1.0,8,asymmetric,auto,0.01,5,0.32502341684367153
1.0,8,asymmetric,auto,0.1,5,0.32502341684367153
1.0,8,asymmetric,,0.001,5,0.3199746002123496
1.0,8,asymmetric,,0.01,5,0.32502341684367153
1.0,8,asymmetric,,0.1,5,0.325238187961294
1.0,10,symmetric,symmetric,0.001,5,0.3407316513529582
1.0,10,symmetric,symmetric,0.01,5,0.33932895342376895
1.0,10,symmetric,symmetric,0.1,5,0.3363760280225386
1.0,10,symmetric,auto,0.001,5,0.3354722993202121
1.0,10,symmetric,auto,0.01,5,0.3363036908599837
1.0,10,symmetric,auto,0.1,5,0.32702041595589265
1.0,10,symmetric,,0.001,5,0.33871606426806644
1.0,10,symmetric,,0.01,5,0.3346010156502343
1.0,10,symmetric,,0.1,5,0.3348816932710668
1.0,10,asymmetric,symmetric,0.001,5,0.35550992483346655
1.0,10,asymmetric,symmetric,0.01,5,0.35036871447059187
1.0,10,asymmetric,symmetric,0.1,5,0.34805550457140405
1.0,10,asymmetric,auto,0.001,5,0.35290622723579
1.0,10,asymmetric,auto,0.01,5,0.35328559163384965
1.0,10,asymmetric,auto,0.1,5,0.3530004650700732
1.0,10,asymmetric,,0.001,5,0.34783620085819866
1.0,10,asymmetric,,0.01,5,0.3508286575076628
1.0,10,asymmetric,,0.1,5,0.3530073220938491
1.0,12,symmetric,symmetric,0.001,5,0.3206044740407211
1.0,12,symmetric,symmetric,0.01,5,0.3255506416048199
1.0,12,symmetric,symmetric,0.1,5,0.3315274266172004
1.0,12,symmetric,auto,0.001,5,0.34350800421571187
1.0,12,symmetric,auto,0.01,5,0.34054148633594705
1.0,12,symmetric,auto,0.1,5,0.3424528146567743
1.0,12,symmetric,,0.001,5,0.3325059150214752
1.0,12,symmetric,,0.01,5,0.33317647180084003
1.0,12,symmetric,,0.1,5,0.3368809461001278
1.0,12,asymmetric,symmetric,0.001,5,0.3318297539513961
1.0,12,asymmetric,symmetric,0.01,5,0.3249177911393161
1.0,12,asymmetric,symmetric,0.1,5,0.3234160834161423
1.0,12,asymmetric,auto,0.001,5,0.3227073135217774
1.0,12,asymmetric,auto,0.01,5,0.3334076538708121
1.0,12,asymmetric,auto,0.1,5,0.3198144010576682
1.0,12,asymmetric,,0.001,5,0.3251669953633477
1.0,12,asymmetric,,0.01,5,0.3187910525680754
1.0,12,asymmetric,,0.1,5,0.3273902027113547
1.0,14,symmetric,symmetric,0.001,5,0.3456959987606457
1.0,14,symmetric,symmetric,0.01,5,0.3443845576060568
1.0,14,symmetric,symmetric,0.1,5,0.3494264099119224
1.0,14,symmetric,auto,0.001,5,0.3483713557553058
1.0,14,symmetric,auto,0.01,5,0.34596797205564006
1.0,14,symmetric,auto,0.1,5,0.34172369248424844
1.0,14,symmetric,,0.001,5,0.3412697658656393
1.0,14,symmetric,,0.01,5,0.3495123777564352
1.0,14,symmetric,,0.1,5,0.3423323362574037
1.0,14,asymmetric,symmetric,0.001,5,0.3616378021727697
1.0,14,asymmetric,symmetric,0.01,5,0.3554586232807683
1.0,14,asymmetric,symmetric,0.1,5,0.3639961064409469
1.0,14,asymmetric,auto,0.001,5,0.3495146881162122
1.0,14,asymmetric,auto,0.01,5,0.3480388825219171
1.0,14,asymmetric,auto,0.1,5,0.360979703365407
1.0,14,asymmetric,,0.001,5,0.3460427403363819
1.0,14,asymmetric,,0.01,5,0.3521224219362176
1.0,14,asymmetric,,0.1,5,0.3516380352102246
0.75,8,symmetric,symmetric,0.001,7,0.34674114836270986
0.75,8,symmetric,symmetric,0.01,7,0.31469763958754593
0.75,8,symmetric,symmetric,0.1,7,0.33809003507404634
0.75,8,symmetric,auto,0.001,7,0.3481971562406655
0.75,8,symmetric,auto,0.01,7,0.3351626662823014
0.75,8,symmetric,auto,0.1,7,0.3251459674315683
0.75,8,symmetric,,0.001,7,0.337881573528704
0.75,8,symmetric,,0.01,7,0.34384164821758456
0.75,8,symmetric,,0.1,7,0.3284753293532052
0.75,8,asymmetric,symmetric,0.001,7,0.34029489459653417
0.75,8,asymmetric,symmetric,0.01,7,0.33827009709994305
0.75,8,asymmetric,symmetric,0.1,7,0.35179418983926203
0.75,8,asymmetric,auto,0.001,7,0.34957468880447806
0.75,8,asymmetric,auto,0.01,7,0.337709011790448
0.75,8,asymmetric,auto,0.1,7,0.34353765544828513
0.75,8,asymmetric,,0.001,7,0.3433638163455523
0.75,8,asymmetric,,0.01,7,0.3506215539970945
0.75,8,asymmetric,,0.1,7,0.3297921823351005
0.75,10,symmetric,symmetric,0.001,7,0.3193005596353458
0.75,10,symmetric,symmetric,0.01,7,0.3351542968692262
0.75,10,symmetric,symmetric,0.1,7,0.3350245444924017
0.75,10,symmetric,auto,0.001,7,0.3289829077925318
0.75,10,symmetric,auto,0.01,7,0.32416362022012324
0.75,10,symmetric,auto,0.1,7,0.3246083645122643
0.75,10,symmetric,,0.001,7,0.3278026681869054
0.75,10,symmetric,,0.01,7,0.31000150250275404
0.75,10,symmetric,,0.1,7,0.32196388105611773
0.75,10,asymmetric,symmetric,0.001,7,0.33656935583074793
0.75,10,asymmetric,symmetric,0.01,7,0.3510930476375638
0.75,10,asymmetric,symmetric,0.1,7,0.3365982158072133
0.75,10,asymmetric,auto,0.001,7,0.35317962952635445
0.75,10,asymmetric,auto,0.01,7,0.34184941193317714
0.75,10,asymmetric,auto,0.1,7,0.33203170958021894
0.75,10,asymmetric,,0.001,7,0.3556447597050791
0.75,10,asymmetric,,0.01,7,0.3443278605340486
0.75,10,asymmetric,,0.1,7,0.34874800795050515
0.75,12,symmetric,symmetric,0.001,7,0.32982708934933685
0.75,12,symmetric,symmetric,0.01,7,0.33876695469595086
0.75,12,symmetric,symmetric,0.1,7,0.3273604431043502
0.75,12,symmetric,auto,0.001,7,0.36063989527227763
0.75,12,symmetric,auto,0.01,7,0.3240738774676241
0.75,12,symmetric,auto,0.1,7,0.3226899506469064
0.75,12,symmetric,,0.001,7,0.33501902361620567
0.75,12,symmetric,,0.01,7,0.3316873889709794
0.75,12,symmetric,,0.1,7,0.3351004476441511
0.75,12,asymmetric,symmetric,0.001,7,0.343336431309243
0.75,12,asymmetric,symmetric,0.01,7,0.34506571973562217
0.75,12,asymmetric,symmetric,0.1,7,0.3492294518608024
0.75,12,asymmetric,auto,0.001,7,0.3588167596976615
0.75,12,asymmetric,auto,0.01,7,0.34523936913187764
0.75,12,asymmetric,auto,0.1,7,0.33875097799222176
0.75,12,asymmetric,,0.001,7,0.3458782158213549
0.75,12,asymmetric,,0.01,7,0.33986694595181755
0.75,12,asymmetric,,0.1,7,0.33974609444981035
0.75,14,symmetric,symmetric,0.001,7,0.31693462961195895
0.75,14,symmetric,symmetric,0.01,7,0.32126007828410547
0.75,14,symmetric,symmetric,0.1,7,0.3206660914310298
0.75,14,symmetric,auto,0.001,7,0.32092184288164727
0.75,14,symmetric,auto,0.01,7,0.33214830377351723
0.75,14,symmetric,auto,0.1,7,0.3257131015092791
0.75,14,symmetric,,0.001,7,0.32709282836532616
0.75,14,symmetric,,0.01,7,0.3244970009964314
0.75,14,symmetric,,0.1,7,0.3122742108970988
0.75,14,asymmetric,symmetric,0.001,7,0.3271967413283085
0.75,14,asymmetric,symmetric,0.01,7,0.3175034360984972
0.75,14,asymmetric,symmetric,0.1,7,0.3306310982388458
0.75,14,asymmetric,auto,0.001,7,0.33844551164683295
0.75,14,asymmetric,auto,0.01,7,0.36247296049942346
0.75,14,asymmetric,auto,0.1,7,0.33328504007278764
0.75,14,asymmetric,,0.001,7,0.3275885876055611
0.75,14,asymmetric,,0.01,7,0.339462504490148
0.75,14,asymmetric,,0.1,7,0.32571567257610523
